商品名称,商品分类,商品品牌,cluster_kmeans,cluster_dbscan,cluster_hdbscan,tsne_x,tsne_y
阿迪达斯三叶草男女款经典休闲运动鞋 adidas ZX 22 BOOST HP2784,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,17.116976,0.16638556
阿迪达斯三叶草 男女款经典运动鞋adidas EQT BASK ADV V2 ID4074,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-68.027466,-43.291775
阿迪达斯三叶草 男美式复古风运动夹克外套MC WINDBREAKER HS1991,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,2,-1,-1,46.352566,18.933578
阿迪达斯三叶草 男女款休闲中帮篮球板鞋adidas DROP STEP IF4322,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-74.749596,-16.749874
阿迪达斯官方 男女休闲篮球风低帮运动板鞋 adidas ENTRAP IE3905,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-98.93012,-3.1160026
阿迪达斯 男女款团队款实战篮球运动鞋adidas FRONT COURT ID8589,运动户外-运动鞋-篮球鞋,adidas/阿迪达斯,1,-1,4,-74.93688,-17.496107
阿迪达斯官方三叶草 男女新款运动立领夹克外套 adidas IL2465,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,2,-1,-1,46.352566,18.933578
阿迪达斯三叶草男女款经典休闲运动鞋 adidas NITE JOGGER G26311,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,17.116947,0.16639161
阿迪达斯三叶草男女款中帮经典运动鞋adidas DROP STEP SE GZ2572,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-68.068634,-44.023003
阿迪达斯三叶草男款居家运动拼接卫衣adidas TRICOL HOODY GN3570,运动户外-运动服/休闲服装-运动卫衣/套头衫,adidas/阿迪达斯,0,-1,4,25.508848,2.520157
「CLIMACOOL清风鞋」阿迪达斯 男女休闲舒适网面透气运动鞋GX5583,运动户外-运动鞋-跑步鞋,adidas/阿迪达斯,1,0,4,-68.44767,-10.937409
「奶包鞋」阿迪达斯官方三叶草 男女款经典运动鞋NITEBALL ID1120,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.309814,-44.173
阿迪达斯三叶草 男田径舒适运动休闲束脚长裤3D TF 3 STRP GN3543,运动户外-运动服/休闲服装-运动裤-运动长裤,adidas/阿迪达斯,0,-1,4,25.404068,2.658998
