商品名称,商品分类,商品品牌,cluster_similarity
阿迪达斯官方 轻运动男款休闲跑步运动鞋 adidas OZELLE GX6762,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款复古经典运动老爹鞋 adidas OZELIA JH7366,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女款经典休闲运动鞋 adidas ZX 22 BOOST HP2784,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款经典运动鞋adidas EQT BASK ADV V2 ID4074,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男美式复古风运动夹克外套MC WINDBREAKER HS1991,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
阿迪达斯三叶草 男女款休闲中帮篮球板鞋adidas DROP STEP IF4322,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方 男女休闲篮球风低帮运动板鞋 adidas ENTRAP IE3905,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯 男女款团队款实战篮球运动鞋adidas FRONT COURT ID8589,运动户外-运动鞋-篮球鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草 男女新款运动立领夹克外套 adidas IL2465,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
阿迪达斯三叶草男女款经典休闲运动鞋 adidas NITE JOGGER G26311,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女款中帮经典运动鞋adidas DROP STEP SE GZ2572,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男款居家运动拼接卫衣adidas TRICOL HOODY GN3570,运动户外-运动服/休闲服装-运动卫衣/套头衫,adidas/阿迪达斯,1
「CLIMACOOL清风鞋」阿迪达斯 男女休闲舒适网面透气运动鞋GX5583,运动户外-运动鞋-跑步鞋,adidas/阿迪达斯,0
「奶包鞋」阿迪达斯官方三叶草 男女款经典运动鞋NITEBALL ID1120,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男田径舒适运动休闲束脚长裤3D TF 3 STRP GN3543,运动户外-运动服/休闲服装-运动裤-运动长裤,adidas/阿迪达斯,1
阿迪达斯 男女款团队款实战篮球运动鞋adidas FRONT COURT ID8593,运动户外-运动鞋-篮球鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女加厚保暖仿羊羔绒夹克外套D11 SHERPA HY1376,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
「面包鞋」阿迪达斯官方三叶草 男女经典滑板鞋CAMPUS 00s ID6140,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方男款少年感复古篮球鞋运动板鞋adidas ENTRAP GW5499,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
